Total_Goals,H_Goal_Conversion,A_Goal_Conversion,Expected_Goals_Home,Expected_Goals_Away,H_Shot_Efficiency,A_Shot_Efficiency,H_Attack_Intensity,A_Attack_Intensity,Match_Intensity,H_Avg_Goals_Last5,A_Avg_Goals_Last5,H_Avg_Corners_Last5,A_Avg_Corners_Last5
1,0.2,0.0,2.2,2.0,0.5555555555555556,0.5,21,20,41,2.5,0.5,8.0,3.5
4,0.25,0.3333333333333333,1.8,3.1999999999999997,0.6666666666666666,0.5294117647058824,16,31,47,2.5,1.5,7.0,5.5
3,0.16666666666666666,0.2857142857142857,2.4,2.4000000000000004,0.5454545454545454,0.5833333333333334,23,22,45,1.5,1.0,7.5,3.0
2,0.2222222222222222,0.0,3.0999999999999996,2.9000000000000004,0.6923076923076923,0.7,26,25,51,2.0,1.0,6.5,4.5
3,0.25,0.2,2.8,2.0,0.5333333333333333,0.5,27,20,47,1.0,2.0,3.0,4.0
2,0.0,0.4,4.5,1.8,0.625,0.7142857142857143,41,15,56,3.0,0.5,7.0,6.5
2,0.25,0.5,2.1,0.9,0.36363636363636365,0.5,24,9,33,2.5,3.0,6.0,4.5
2,0.25,0.5,2.1,0.6,0.26666666666666666,0.2857142857142857,28,9,37,1.0,1.5,9.0,6.0
1,0.0,0.25,2.5,1.7,0.42857142857142855,0.6666666666666666,27,15,42,1.0,1.0,5.333333333333333,9.333333333333334
3,0.0,0.3,1.1,3.6,0.2222222222222222,0.8333333333333334,16,28,44,0.3333333333333333,1.0,6.666666666666667,7.0
2,0.14285714285714285,0.16666666666666666,2.8000000000000003,2.1999999999999997,0.5384615384615384,0.375,27,26,53,2.3333333333333335,1.0,6.666666666666667,7.0
2,0.16666666666666666,0.25,2.1999999999999997,1.9,0.35294117647058826,0.4,27,21,48,1.0,1.0,5.333333333333333,8.333333333333334
2,0.16666666666666666,0.3333333333333333,3.0,1.2,0.5454545454545454,0.375,29,14,43,2.3333333333333335,0.6666666666666666,7.666666666666667,4.333333333333333
6,0.6,0.6,2.3,1.9,0.45454545454545453,0.38461538461538464,24,22,46,3.6666666666666665,0.3333333333333333,5.333333333333333,6.666666666666667
2,0.2,0.14285714285714285,2.0,2.6,0.4166666666666667,0.4666666666666667,22,27,49,1.0,1.0,5.333333333333333,4.666666666666667
1,0.0,0.5,1.9,1.3,0.4166666666666667,0.5,21,13,34,1.6666666666666667,1.6666666666666667,6.0,6.333333333333333
0,0.0,0.0,2.0,1.0,0.2777777777777778,0.2857142857142857,28,13,41,2.3333333333333335,1.3333333333333333,7.0,4.666666666666667
